Date,Value
2015/9/22,22.440001
2015/9/23,22.129999
2015/9/24,23.469999
2015/9/25,23.620001
2015/9/28,27.629999
2015/9/29,26.83
2015/9/30,24.5
2015/10/1,22.549999
2015/10/2,20.940001
2015/10/5,19.540001
2015/10/6,19.4
2015/10/7,18.4
2015/10/8,17.42
2015/10/9,17.08
2015/10/12,16.17
2015/10/13,17.67
2015/10/14,18.030001
2015/10/15,16.049999
2015/10/16,15.05
2015/10/19,14.98
2015/10/20,15.75
2015/10/21,16.700001
2015/10/22,14.45
2015/10/23,14.46
2015/10/26,15.29
2015/10/27,15.43
2015/10/28,14.33
2015/10/29,14.61
2015/10/30,15.07
2015/11/2,14.15
2015/11/3,14.54
2015/11/4,15.51
2015/11/5,15.05
2015/11/6,14.33
2015/11/9,16.52
2015/11/10,15.29
2015/11/11,16.059999
2015/11/12,18.370001
2015/11/13,20.08
2015/11/16,18.16
2015/11/17,18.84
2015/11/18,16.85
2015/11/19,16.99
2015/11/20,15.47
2015/11/23,15.62
2015/11/24,15.93
2015/11/25,15.19
2015/11/27,15.12
2015/11/30,16.129999
2015/12/1,14.67
2015/12/2,15.91
2015/12/3,18.110001
2015/12/4,14.81
2015/12/7,15.84
2015/12/8,17.6
2015/12/9,19.610001
2015/12/10,19.34
2015/12/11,24.389999
2015/12/14,22.73
2015/12/15,20.950001
2015/12/16,17.860001
2015/12/17,18.940001
2015/12/18,20.700001
2015/12/21,18.700001
2015/12/22,16.6
2015/12/23,15.57
2015/12/24,15.74
2015/12/28,16.91
2015/12/29,16.08
2015/12/30,17.290001
2015/12/31,18.209999
2016/1/4,20.700001
2016/1/5,19.34
2016/1/6,20.59
2016/1/7,24.99
2016/1/8,27.01
2016/1/11,24.299999
2016/1/12,22.469999
2016/1/13,25.219999
2016/1/14,23.950001
2016/1/15,27.02
2016/1/19,26.049999
2016/1/20,27.59
2016/1/21,26.690001
2016/1/22,22.34
