machineID,machine_include_apps,machine_include_containers
m_3918,15,20
m_3056,9,9
m_81,17,23
m_1134,10,17
m_3768,10,17
m_2858,16,19
m_4013,14,17
m_1576,14,16
m_798,13,16
m_3423,4,23
m_361,30,30
m_3060,13,17
m_2718,20,23
m_2392,32,32
m_242,8,8
m_1021,15,23
m_1691,15,16
m_592,15,16
m_3402,17,17
m_1175,16,21
m_2253,14,17
m_2285,8,8
m_2694,16,23
m_646,18,18
m_303,29,29
m_512,11,16
m_3052,26,26
m_98,19,23
m_2532,22,23
m_1459,12,14
m_2661,14,21
m_3161,30,30
m_703,20,22
m_1441,18,23
m_660,14,17
m_772,28,28
m_1952,17,19
m_2944,10,10
m_1326,18,20
m_3005,16,18
m_43,10,10
m_1700,21,23
m_2971,19,20
m_1778,26,26
m_2765,25,25
m_645,8,8
m_2492,22,25
m_3200,30,30
m_1214,12,16
m_2280,16,17
m_2224,24,24
m_2320,30,31
m_3090,20,23
m_1401,8,8
m_3348,18,24
m_563,12,14
m_540,16,19
m_2467,18,20
m_2364,22,24
m_3949,20,22
m_3031,8,8
m_3231,21,21
m_2850,22,23
m_3412,21,23
m_2064,30,30
m_747,32,32
m_2293,18,20
m_3987,27,27
m_1036,22,23
m_1925,32,32
m_3293,29,29
m_175,26,26
m_1740,29,29
m_53,11,15
m_2749,13,17
m_1410,4,20
m_4014,20,20
m_1753,32,32
m_154,15,17
m_926,31,31
m_3499,9,13
m_2985,6,6
m_3479,31,31
m_2524,14,16
m_3591,6,6
m_468,29,29
m_2031,26,26
m_3436,8,8
m_3971,15,18
m_3187,32,32
m_3509,32,32
m_1048,31,31
m_3859,15,19
m_3050,18,20
m_945,19,22
m_271,14,23
m_3455,8,8
m_1878,32,32
m_2980,10,14
m_3652,29,29
m_619,20,23
m_625,20,23
m_1255,19,22
m_983,12,16
m_1842,13,18
m_2308,10,10
m_1868,30,30
m_209,16,26
m_1452,15,16
m_3185,17,22
m_653,27,29
m_3157,12,21
m_3914,25,25
m_2331,17,23
m_2863,19,19
m_268,8,8
m_782,8,8
m_3373,18,21
m_2240,19,19
m_3759,22,23
m_800,23,23
m_1785,23,23
m_3507,33,33
m_1613,18,19
m_3628,29,29
m_3454,27,27
m_311,15,18
m_527,12,15
m_1896,13,18
m_1491,30,30
m_1710,13,16
m_802,8,12
m_3177,9,9
m_1473,18,20
m_3149,10,10
m_1992,31,31
m_1231,10,14
m_3514,31,31
m_2813,14,18
m_1389,11,14
m_3968,16,19
m_152,24,24
m_2021,14,16
m_1734,31,31
m_371,12,14
m_3289,27,27
m_539,8,8
m_3069,17,21
m_2030,22,22
m_749,29,29
m_2897,31,31
m_1959,16,19
m_1536,31,31
m_3393,21,21
m_1721,27,27
m_352,26,26
m_48,18,19
m_3475,16,18
m_2535,8,11
m_3683,15,21
m_2658,9,9
m_3702,28,28
m_3995,8,8
m_3360,31,32
m_1335,15,15
m_958,10,10
m_3055,22,23
m_2233,19,21
m_2446,30,30
m_3658,29,29
m_1577,16,18
m_3256,15,15
m_3892,21,24
m_1523,32,32
m_2930,31,32
m_2130,9,9
m_1594,12,18
m_1287,13,15
m_1475,32,32
m_133,11,13
m_437,16,18
m_2387,9,9
m_2729,9,9
m_1902,14,18
m_1399,31,31
m_1949,29,29
m_3595,10,10
m_3180,13,17
m_360,28,28
m_1164,31,31
m_129,20,20
m_78,18,18
m_3379,11,14
m_1660,11,15
m_4033,14,17
m_3302,8,8
m_2271,15,18
m_2388,19,19
m_62,33,33
m_1040,30,30
m_932,18,20
m_3835,11,15
m_982,18,19
m_2400,25,25
m_11,7,7
m_3894,14,17
m_3578,12,14
m_3862,33,33
m_1935,16,17
m_141,21,22
m_635,10,11
m_3713,13,13
m_3939,15,16
m_1729,17,17
m_3851,13,17
m_2093,16,21
m_1193,9,11
m_1961,13,17
m_4028,14,16
m_3510,12,17
m_1650,17,19
m_3562,18,20
m_1310,16,21
m_1832,20,22
m_3977,13,14
m_3172,21,24
m_3197,16,17
m_3568,16,23
m_804,23,24
m_844,19,22
m_3413,20,26
m_1611,30,30
m_1963,17,22
m_784,10,14
m_894,14,17
m_1317,32,32
m_1295,13,18
m_971,14,25
m_769,12,24
m_2821,11,17
m_1361,33,33
m_1955,15,15
m_1314,16,16
m_944,31,31
m_1506,11,16
m_2348,21,23
m_2216,20,23
m_3816,32,32
m_1882,11,12
m_3863,19,23
m_701,11,13
m_1544,18,21
m_2735,13,13
m_1551,32,32
m_1563,12,15
m_3671,26,26
m_2282,17,18
m_3227,30,30
m_3183,32,32
m_2382,18,23
m_2555,19,22
m_220,17,19
m_618,12,14
m_565,11,11
m_3800,17,18
m_3963,10,10
m_2949,19,19
m_845,31,31
m_1086,9,9
m_881,23,28
m_2290,10,10
m_1999,14,19
m_843,11,11
m_3224,18,19
m_3886,9,9
m_3268,28,28
m_374,15,17
m_3717,25,25
m_624,19,23
m_2246,31,31
m_1960,13,15
m_1380,11,11
m_1315,22,23
m_868,16,18
m_1888,15,25
m_4012,9,9
m_2162,16,21
m_2947,17,20
m_3381,16,19
m_2614,29,29
m_384,11,11
m_3273,10,14
m_2988,11,13
m_1755,9,10
m_330,9,9
m_775,21,22
m_1403,30,30
m_2227,20,22
m_3019,14,19
m_254,14,16
m_1425,21,23
m_2935,29,29
m_388,32,32
m_3098,20,21
m_1125,16,17
m_2752,10,10
m_3930,22,23
m_2501,28,28
m_2197,31,32
m_1369,19,23
m_3726,19,21
m_369,31,31
m_3342,17,22
m_3638,19,22
m_3659,18,22
m_1245,12,18
m_3000,29,29
m_1747,15,16
m_310,12,18
m_410,13,15
m_1142,7,10
m_2683,30,30
m_3944,17,19
m_2603,11,14
m_2441,21,23
m_834,11,11
m_1010,11,13
m_282,17,19
m_2158,9,9
m_941,19,23
m_1276,15,19
m_243,12,15
m_1717,34,34
m_316,13,19
m_3505,31,31
m_2171,16,19
m_435,20,23
m_1011,18,24
m_377,21,23
m_1325,14,18
m_1107,31,31
m_2506,11,11
m_1993,9,9
m_2726,21,23
m_2247,29,29
m_3466,7,7
m_3661,9,13
m_394,17,17
m_2519,11,24
m_2548,19,21
m_3752,17,18
m_1022,14,33
m_2964,8,11
m_3237,13,15
m_2895,9,9
m_2837,30,30
m_266,16,18
m_1297,10,23
m_1437,22,22
m_1553,11,12
m_715,12,14
m_923,9,13
m_3310,26,26
m_1349,32,32
m_964,12,16
m_2177,14,16
m_662,10,13
m_638,12,16
m_89,13,15
m_423,14,18
m_765,33,34
m_2003,17,19
m_2955,15,18
m_2953,17,17
m_3095,25,25
m_1120,16,19
m_1626,32,32
m_1738,23,23
m_856,18,18
m_1657,9,9
m_1561,12,14
m_2728,16,17
m_1644,12,17
m_3476,17,17
m_3189,16,17
m_591,29,29
m_781,11,14
m_2636,24,24
m_1956,12,14
m_2809,12,18
m_3884,13,13
m_967,18,25
m_1055,15,24
m_2527,15,17
m_2123,11,11
m_2922,9,9
m_2916,12,17
m_2443,34,34
m_2045,25,25
m_1779,33,33
m_3547,10,10
m_956,14,16
m_3399,10,10
m_1484,14,14
m_1928,18,19
m_3985,7,9
m_3803,15,16
m_1688,9,9
m_1213,22,23
m_3497,21,23
m_2362,12,14
m_1865,30,30
m_3077,16,21
m_2978,11,12
m_1286,15,17
m_779,15,16
m_3972,32,32
m_1249,8,8
m_3712,10,12
m_1927,32,32
m_3047,11,14
m_307,32,32
m_313,30,30
m_106,3,23
m_3506,14,17
m_2384,18,19
m_1019,18,21
m_127,10,10
m_16,17,23
m_3435,22,23
m_1268,9,9
m_4026,29,29
m_2626,20,23
m_1302,12,16
m_3130,11,11
m_724,28,28
m_112,31,31
m_3398,7,7
m_251,15,17
m_955,30,30
m_1388,14,22
m_2599,9,9
m_3173,16,23
m_186,15,17
m_3215,15,25
m_201,19,21
m_199,16,16
m_344,10,13
m_389,30,30
m_829,15,16
m_532,11,12
m_364,13,15
m_2717,13,18
m_3840,8,8
m_3204,28,30
m_505,13,16
m_3763,17,19
m_1934,17,19
m_2106,29,29
m_641,11,11
m_274,11,19
m_1606,19,23
m_2564,10,11
m_2243,19,22
m_3762,8,8
m_2442,10,12
m_679,13,16
m_812,10,14
m_3680,7,21
m_46,10,14
m_3669,11,11
m_1643,15,17
m_960,11,11
m_2702,20,22
m_985,8,8
m_1270,29,29
m_2602,13,14
m_1772,18,20
m_3396,21,22
m_248,13,15
m_3262,30,30
m_1267,29,29
m_622,7,14
m_2371,17,19
m_2536,30,31
m_2590,17,17
m_1161,27,27
m_273,9,12
m_1766,9,13
m_136,21,23
m_75,9,9
m_166,18,19
m_3426,13,17
m_329,21,23
m_3350,11,16
m_2699,30,30
m_3640,14,17
m_1404,11,16
m_2419,12,16
m_2315,11,14
m_2386,29,29
m_1639,13,14
m_72,15,20
m_805,19,19
m_3377,31,31
m_862,24,24
m_3625,20,24
m_2425,18,20
m_2814,8,8
m_2799,30,30
m_1953,17,20
m_3773,12,13
m_3108,32,32
m_2163,13,13
m_2245,14,17
m_2095,10,10
m_3698,8,12
m_3126,9,9
m_3463,14,16
m_2725,8,8
m_3794,9,9
m_1829,16,19
m_1357,16,19
m_3764,12,14
m_2826,13,16
m_123,15,19
m_907,14,16
m_3689,15,18
m_1329,14,17
m_839,14,16
m_1448,16,18
m_1236,8,8
m_2931,10,11
m_2887,14,20
m_1241,31,31
m_2537,31,32
m_552,27,27
m_2573,25,27
m_2952,18,22
m_826,32,32
m_3304,13,18
m_3489,9,9
m_1131,7,7
m_2437,16,18
m_2582,15,19
m_2594,7,7
m_2710,29,29
m_2344,10,15
m_3086,9,9
m_3890,32,32
m_766,30,30
m_3082,9,9
m_2283,28,29
m_2688,17,17
m_1768,20,21
m_2793,9,9
m_3037,30,30
m_2026,15,24
m_3162,16,21
m_1347,17,23
m_728,21,22
m_2473,3,3
m_2967,14,14
m_2840,11,11
m_3199,14,19
m_2705,10,19
m_928,11,16
m_1155,13,16
m_630,13,17
m_3550,30,30
m_3945,33,33
m_2289,14,17
m_3470,9,9
m_2472,18,19
m_1518,20,21
m_719,9,9
m_3391,29,29
m_2788,16,17
m_738,21,23
